,Mean C1,Mean C2,Mean C3,Mean C4
64,-5.361648399335693e-07,-4.735726613120556e-07,2.982569444444444e-13,2.9739722222222223e-13
65,-6.291679699862364e-08,-9.435187781484445e-08,2.4956805555555553e-13,2.494555555555556e-13
66,-7.593713119780837e-08,2.652382544529167e-08,2.229388888888889e-13,2.2270555555555552e-13
67,2.808839970693472e-07,9.514508987092637e-08,2.0359999999999996e-13,2.034194444444444e-13
68,2.3147577672840285e-08,5.890288370903056e-08,1.9006249999999998e-13,1.8988749999999998e-13
69,1.4214718745602774e-07,2.140446649993611e-08,1.8006666666666667e-13,1.7999722222222224e-13
70,8.37573848418125e-08,-1.3109353282175e-07,1.732583333333333e-13,1.7313472222222223e-13
71,1.561420126732917e-08,-2.7125941344830546e-08,1.6855277777777775e-13,1.684347222222222e-13
72,-5.358671501964306e-08,-4.316669080396944e-08,1.6539444444444448e-13,1.6529444444444444e-13
73,-5.1439805410356933e-08,3.8685277783004156e-08,1.633375e-13,1.6324305555555556e-13
74,-1.87699436928486e-08,2.8861500349284713e-08,1.6273750000000002e-13,1.626111111111111e-13
75,9.430783340575833e-09,1.0482557573894444e-08,1.6268194444444446e-13,1.6260416666666663e-13
76,2.618788650891388e-08,3.33466645251125e-08,1.6367638888888893e-13,1.6358333333333328e-13
77,-2.536495680117778e-08,-3.170620947816946e-08,1.6514722222222228e-13,1.650666666666667e-13
78,7.202685081529861e-09,-3.929372240234722e-08,1.6756666666666667e-13,1.6748333333333332e-13
79,-8.974537268038612e-09,1.1911981616166667e-09,1.7029999999999994e-13,1.7021944444444442e-13
80,5.56937945088639e-09,7.0290698196505534e-09,1.738388888888889e-13,1.737638888888889e-13
81,-1.61602719617375e-08,2.8691173584336115e-08,1.7769166666666667e-13,1.7762222222222221e-13
82,1.5681244632697224e-08,-3.838741380833473e-09,1.8237499999999994e-13,1.8228055555555555e-13
83,9.173381009637918e-09,1.619265736270555e-08,1.8731805555555551e-13,1.8723194444444444e-13
84,-2.729911614719444e-09,-1.5326842676095836e-09,1.9304583333333337e-13,1.9297638888888892e-13
85,6.3710835059756964e-09,-9.158751211427639e-09,1.990888888888889e-13,1.990194444444444e-13
86,-1.431338716435695e-10,-6.648308458994859e-09,2.059138888888888e-13,2.0584444444444445e-13
87,2.862304822677222e-09,1.5876251173355557e-09,2.1313333333333339e-13,2.130152777777778e-13
88,-5.276840394393473e-09,8.719099776999445e-09,2.2112638888888888e-13,2.2106527777777772e-13
89,4.0288529276522205e-09,-1.3528648332548614e-08,2.295388888888889e-13,2.294416666666667e-13
90,2.7272490711487516e-10,1.0860597168773608e-09,2.387930555555555e-13,2.387277777777778e-13
91,7.121829590412084e-09,-1.8475931442599998e-08,2.4851805555555555e-13,2.484583333333333e-13
92,-7.638481142886805e-11,3.5771945618391676e-09,2.5917083333333325e-13,2.5909027777777783e-13
93,-1.7512123096494443e-09,-3.889280071557222e-09,2.7036388888888885e-13,2.702652777777778e-13
94,-4.2121590622850024e-10,6.529821476379443e-09,2.8249305555555566e-13,2.824152777777778e-13
95,-1.2544247511644449e-08,-1.0080354997130554e-08,2.952722222222222e-13,2.9519583333333335e-13
96,4.7145689998211106e-11,6.410698349009025e-09,3.091819444444444e-13,3.090847222222221e-13
97,-6.958247499291946e-09,-1.2896801179152777e-09,3.2380833333333324e-13,3.2368472222222213e-13
98,5.091274251015556e-09,3.1433587166990273e-09,3.3962222222222223e-13,3.395541666666668e-13
99,-4.429642966082084e-09,8.31201351171736e-09,3.562319444444446e-13,3.5612777777777776e-13
100,3.8071731853254185e-09,-1.1501375696570839e-09,3.742847222222222e-13,3.741736111111112e-13
101,-7.143429010484585e-09,-3.293627024473056e-09,3.9317638888888894e-13,3.9311944444444446e-13
102,-2.274605285793611e-09,-3.7831589146675e-10,4.1368749999999995e-13,4.13648611111111e-13
103,-4.890797325317081e-09,4.192602567562918e-09,4.3514861111111127e-13,4.350513888888888e-13
104,5.802415892012778e-09,-2.1659253581487493e-09,4.584819444444445e-13,4.584527777777777e-13
105,3.412960862008196e-09,-4.601850901944723e-09,4.829069444444443e-13,4.828444444444444e-13
106,1.761350260104028e-09,-2.279618413520833e-10,5.095291666666666e-13,5.093750000000001e-13
107,-6.925188711441252e-09,-1.2919532858687497e-09,5.372319444444446e-13,5.372069444444446e-13
108,1.4266476493562497e-09,3.4581117842234707e-09,5.673986111111112e-13,5.673319444444443e-13
109,6.643737757205277e-09,-1.9009729096112498e-09,5.989305555555558e-13,5.988152777777779e-13
110,3.507851925026945e-09,3.058325546643612e-10,6.332513888888891e-13,6.331805555555556e-13
111,1.7616127408518059e-09,1.1600250653151387e-09,6.690777777777778e-13,6.689930555555555e-13
112,-1.7553960556916668e-09,-4.624589929420001e-09,7.080819444444447e-13,7.079041666666666e-13
113,1.8803347471480555e-09,-4.641700130966528e-10,7.486305555555553e-13,7.484194444444443e-13
114,-1.6261933445743054e-09,4.158824671877083e-09,7.931569444444447e-13,7.930513888888889e-13
115,-2.6758793036795825e-10,4.639323943019445e-09,8.384180555555553e-13,8.38295833333333e-13
116,3.421356137428055e-09,3.6078362404133335e-09,8.892541666666667e-13,8.889152777777777e-13
117,4.942413696993472e-09,-2.630717522791805e-09,9.365819444444447e-13,9.364805555555554e-13
118,-1.9815402244198613e-09,-1.2053639871093061e-09,9.930375000000006e-13,9.927486111111108e-13
119,-3.3390978147230546e-09,-8.073790767084585e-10,9.364388888888887e-13,9.360152777777775e-13
120,1.8772057847e-09,-1.3288896347586112e-09,9.934000000000002e-13,9.928694444444444e-13
121,2.439360193717779e-06,-1.4003041271552779e-06,7.013624999999999e-13,7.074194444444443e-13
122,9.047682086869862e-07,-6.190062674608887e-07,5.143250000000002e-13,5.162791666666666e-13
123,3.504898971387501e-07,6.62496739856361e-07,4.048444444444445e-13,4.071166666666666e-13
124,6.520603856982502e-07,-3.2334545904381933e-07,2.827041666666667e-13,2.8283888888888885e-13
125,4.8631659057676395e-08,-3.737838237606944e-07,2.6631111111111103e-13,2.6694305555555564e-13
126,3.303918136099166e-07,9.301535549430697e-08,2.2098749999999997e-13,2.2113055555555553e-13
127,8.001079286599862e-08,6.529350145655554e-08,2.1326249999999997e-13,2.1361388888888886e-13
128,2.1412571301572234e-08,-3.168994527865138e-08,1.9188194444444438e-13,1.9193888888888893e-13
129,-9.39866981791861e-08,-5.127229800748889e-08,1.8787916666666672e-13,1.8790694444444446e-13
130,2.0115466635712496e-08,-9.89929634569681e-08,1.772375e-13,1.7726527777777772e-13
131,1.427332788624445e-08,3.109354127623333e-08,1.7542361111111108e-13,1.7547916666666667e-13
132,5.531095682783195e-08,-6.269082160466667e-08,1.7023055555555561e-13,1.7025138888888888e-13
133,-3.591519252018195e-08,-4.0584656072080545e-09,1.702583333333334e-13,1.7024305555555556e-13
134,-2.0531059927358345e-08,-3.029931026266111e-08,1.6837500000000003e-13,1.6834027777777774e-13
135,-2.4507485134376395e-08,2.8027937923093053e-08,1.696291666666666e-13,1.695958333333333e-13
136,-2.0102489887836107e-08,6.814036547579304e-09,1.6996250000000002e-13,1.6992083333333333e-13
137,1.4726000880658336e-08,1.0830020239458332e-08,1.7243055555555554e-13,1.7239027777777776e-13
